wilayah;tahun;laki-laki;perempuan;total
Provinsi Jawa Barat;2019;24962701;24354011;49316712
KABUPATEN BOGOR;2019;3045174;2920236;5965410
KABUPATEN SUKABUMI;2019;1248270;1218002;2466272
KABUPATEN CIANJUR;2019;1162586;1100486;2263072
KABUPATEN BANDUNG;2019;1911189;1864090;3775279
KABUPATEN GARUT;2019;1319079;1303346;2622425
KABUPATEN TASIKMALAYA;2019;867894;886234;1754128
KABUPATEN CIAMIS;2019;590767;604409;1195176
KABUPATEN KUNINGAN;2019;543415;537389;1080804
KABUPATEN CIREBON;2019;1124026;1068877;2192903
KABUPATEN MAJALENGKA;2019;602200;602834;1205034
KABUPATEN SUMEDANG;2019;573199;579201;1152400
KABUPATEN INDRAMAYU;2019;890102;838367;1728469
KABUPATEN SUBANG;2019;805976;789849;1595825
KABUPATEN PURWAKARTA;2019;489192;473701;962893
KABUPATEN KARAWANG;2019;1205186;1148729;2353915
KABUPATEN BEKASI;2019;1914591;1849295;3763886
KABUPATEN BANDUNG BARAT;2019;861529;838367;1699896
KABUPATEN PANGANDARAN;2019;198927;200357;399284
KOTA BOGOR;2019;563426;548655;1112081
KOTA SUKABUMI;2019;166211;162469;328680
KOTA BANDUNG;2019;1263916;1243972;2507888
KOTA CIREBON;2019;160091;159221;319312
KOTA BEKASI;2019;1512233;1491690;3003923
KOTA DEPOK;2019;1210887;1195939;2406826
KOTA CIMAHI;2019;308998;305306;614304
KOTA TASIKMALAYA;2019;333321;330196;663517
KOTA BANJAR ;2019;90316;92794;183110
